Model,# Différentes,# Features,# Similaires (p > 0.05),CB Diff (%),Diversity Gap (%),Feature,Jensen-Shannon Divergence,KS P-value,KS Statistic,Mean (synth),PD (%),TSTR MLP Accuracy,TSTR MLP F1-score,TSTR RF Accuracy,TSTR RF F1-score,Variance (synth),Vendi Gap (%),Vendi Score (real),Vendi Score (synth),Wasserstein Distance
cluster_vae_df_e20_k60_eps_1pt0,66.0,78.0,12.0,0.0001908784338427,6.815522399309659,GLOBAL,0.0076010089950962,0.1538406460399368,0.1288995288258417,1473172.5435659965,84.61538461538461,0.9258265624502718,0.9220511895910346,0.9828823274942448,0.975975930091613,96005257118888.86,9.47839358063672,2736.290838343157,2995.647253512225,205050.58662553685
cluster_vae_df_e20_k60_eps_1pt25,66.0,78.0,12.0,0.0001908784338427,44.16989051259724,GLOBAL,0.0077343814041759,0.1538461538393993,0.1344718696726602,1735582.3505252004,84.61538461538461,0.9202216504020096,0.9108128385178552,0.9831664040039464,0.9762522365418208,120971692035836.16,9.39367012159582,2736.290838343157,2993.3289732645617,391544.4899105656
cluster_vae_df_e20_k60_eps_1pt5,66.0,78.0,12.0,0.0001908784338427,81.25031115965542,GLOBAL,0.0082835634614851,0.1538461538461533,0.1395864357688303,1946126.098897311,84.61538461538461,0.908529721357485,0.9035709371612216,0.9830178826752228,0.976107119985456,141744856861402.56,9.445631248318833,2736.290838343157,2994.750780814584,603009.9126423949
cluster_vae_df_e20_k60_eps_1pt75,66.0,78.0,12.0,0.0001908784338427,120.4713655854216,GLOBAL,0.0089506895900778,0.1538461538461538,0.1446036829962699,2102914.561306838,84.61538461538461,0.915105915745972,0.9039721042060664,0.9831204331164844,0.9762137654566988,157052385399266.7,9.561490113841009,2736.290838343157,2997.921016337275,762013.4281759111
cluster_vae_df_e20_k60_eps_2,66.0,78.0,12.0,0.0001908784338427,161.12583483152605,GLOBAL,0.0094658930435458,0.1538461538461538,0.1497196787614796,2215005.39616827,84.61538461538461,0.8997928952582798,0.8908105587677235,0.9831157181536676,0.9762035778505096,166339920248150.5,9.631494491034584,2736.290838343157,2999.836539696862,877347.0299833318
cluster_vae_df_e20_k60_eps_2pt5,66.0,78.0,12.0,0.0001908784338427,232.28287081576707,GLOBAL,0.0103204398531054,0.1539226808330035,0.1598747856187066,2346968.2652408304,84.61538461538461,0.8981179047176739,0.8828489151722643,0.9830013803053644,0.976093199519938,175500727357908.3,9.636285207914783,2736.290838343157,2999.967627643946,1017652.8109270956
cluster_vae_df_e20_k60_eps_3,66.0,78.0,12.0,0.0001908784338427,299.1216941812324,GLOBAL,0.0110721574875904,0.153867889119025,0.1673662318671536,2407377.053783175,84.61538461538461,0.8876825132637798,0.8817746165334203,0.9829176897153696,0.9760115630559448,176798279781495.12,9.63746826331958,2736.290838343157,2999.9999994806,1087589.293033697
cluster_vae_df_e20_k60_eps_5,66.0,78.0,12.0,0.0001908784338427,521.8449616926403,GLOBAL,0.0142403737086465,0.1538461538344951,0.1843226856002358,2410364.465475452,84.61538461538461,0.8468733313451907,0.8269129603362848,0.981993557003311,0.9751071672026336,167949067392033.03,9.598736184827132,2736.290838343157,2998.940177165311,1125465.5415538598
cluster_vae_df_e40_k40_eps_0pt5,65.0,78.0,13.0,0.0001908784338427,-59.67485013323531,GLOBAL,0.0152078894594905,0.1434040393543615,0.1395064226585999,910264.1762771604,83.33333333333333,0.8792851644873716,0.8716388558731509,0.9820807838154186,0.975189112741097,68749492083751.46,9.528719868695054,2736.290838343157,2997.024327121644,513944.7131289271
cluster_vae_df_e40_k40_eps_1pt25,66.0,78.0,12.0,0.0001908784338427,39.446052372725525,GLOBAL,0.0062245321336971,0.1296132213649687,0.1249054447692137,1530912.215069533,84.61538461538461,0.916661853475458,0.903854787789208,0.9830402787486016,0.9761357945584768,103212306405065.16,8.722412731746601,2736.290838343157,2974.961418804416,195309.687942954
